Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Football', 'Rodeo: Calf Roping')",1.6390978747812093,0.3789173601918434,Football,Rodeo: Calf Roping
"('Football', 'Track and Field: Distance')",1.9550912862121188,0.3383990216024139,Football,Track and Field: Distance
"('Football', 'Rodeo: Bull/Bareback/Bronc Riding')",1.8236364797945928,0.354153237201676,Football,Rodeo: Bull/Bareback/Bronc Riding
"('Football', 'Track and Field: Middle Distance')",1.8017387100296487,0.3569212205335942,Football,Track and Field: Middle Distance
"('Football', 'Weight-Lifting')",1.9881283753016195,0.3346576433146252,Football,Weight-Lifting
"('Football', 'Swimming (all strokes): Sprints')",1.9491867545923984,0.33907652624671036,Football,Swimming (all strokes): Sprints
"('Football', 'Water Skiing')",1.7459721534780257,0.3641697526806338,Football,Water Skiing
"('Football', 'Table Tennis')",2.140539357460767,0.318416643187218,Football,Table Tennis
"('Football', 'Track and Field: Weights')",1.9533528169145304,0.33859821768424353,Football,Track and Field: Weights
"('Football', 'Canoe/Kayak')",1.850647947290649,0.35079743921042,Football,Canoe/Kayak
"('Football', 'Horse Racing')",1.8434310973776422,0.3516877904733655,Football,Horse Racing
"('Football', 'Golf')",2.067917815619585,0.3259539727266272,Football,Golf
"('Football', 'Cheerleading')",2.3862206940963344,0.29531447898343954,Football,Cheerleading
"('Football', 'Roller Skating')",2.1779626627795396,0.31466700717162316,Football,Roller Skating
"('Football', 'Equestrian')",2.281536206203765,0.30473532430009265,Football,Equestrian
"('Football', 'Archery')",2.4757804706615416,0.2877051667793251,Football,Archery
"('Football', 'Curling')",2.4944130936581694,0.2861710888775138,Football,Curling
"('Football', 'Bowling')",2.6187880820141696,0.2763356066552019,Football,Bowling
"('Football', 'Shooting')",2.753087574067994,0.26644728647141425,Football,Shooting
"('Football', 'Billiards')",2.8988997501952807,0.25648261408873463,Football,Billiards
"('Football', 'Fishing')",3.153804910863886,0.24074313104705372,Football,Fishing
"('Basketball', 'Boxing')",1.1271902654351027,0.4701036932375471,Basketball,Boxing
"('Basketball', 'Ice Hockey')",0.44865829563971116,0.6902939105860098,Basketball,Ice Hockey
"('Basketball', 'Football')",0.9565036474989727,0.5111158373143412,Basketball,Football
"('Basketball', 'Wrestling')",0.9916426272660598,0.5020981105293505,Basketball,Wrestling
